,,	炎□□□□□榮□□□	28814,9633,9633,9633,9633,9633,27054,9633,9633,9633
,.	敝敉□弊彆□幣□□烙	25949,25929,9633,24330,24390,9633,24163,9633,9633,28889
,/	□□□□□□□□燭□	9633,9633,9633,9633,9633,9633,9633,9633,29165,9633
,;	□□□□□□□□□燥	9633,9633,9633,9633,9633,9633,9633,9633,9633,29157
,a	□□□□□□炳□煩煙	9633,9633,9633,9633,9633,9633,28851,9633,29033,29017
,b	燈□□□□□□□□□	29128,9633,9633,9633,9633,9633,9633,9633,9633,9633
,c	□□□□□□□□炒□	9633,9633,9633,9633,9633,9633,9633,9633,28818,9633
,d	□□□□□□□□□□	9633,9633,9633,9633,9633,9633,9633,9633,9633,9633
,e	□□□爛煆燜燦□□爐	9633,9633,9633,29211,28998,29148,29158,9633,9633,29200
,f	籵□□□□□□□□糊	31861,9633,9633,9633,9633,9633,9633,9633,9633,31946
,g	□□□籽煽□□□□□	9633,9633,9633,31869,29053,9633,9633,9633,9633,9633
,h	□□□料□□□□□□	9633,9633,9633,26009,9633,9633,9633,9633,9633,9633
,i	□□□糕□□□□燧燴	9633,9633,9633,31957,9633,9633,9633,9633,29159,29172
,j	灱□□□□□煥炊焰炯	28785,9633,9633,9633,9633,9633,29029,28810,28976,28847
,k	□□□□□□粉□□□	9633,9633,9633,9633,9633,9633,31881,9633,9633,9633
,l	□□□□炮灼熄□□煌	9633,9633,9633,9633,28846,28796,29060,9633,9633,29004
,m	燃□□□□□□□□□	29123,9633,9633,9633,9633,9633,9633,9633,9633,9633
,n	迷□□□糖□□熔□□	36855,9633,9633,9633,31958,9633,9633,29076,9633,9633
,o	炘□炸燬□□□□□糙	28824,9633,28856,29164,9633,9633,9633,9633,9633,31961
,p	糧□□爆□煜□□□□	31975,9633,9633,29190,9633,29020,9633,9633,9633,9633
,q	灴□□□炬□□□□糟	28788,9633,9633,9633,28844,9633,9633,9633,9633,31967
,r	灶□□燒□□精烘烤□	28790,9633,9633,29138,9633,9633,31934,28888,28900,9633
,s	□□□□□□□□□□	9633,9633,9633,9633,9633,9633,9633,9633,9633,9633
,t	□□燼□□□□□□□	9633,9633,29180,9633,9633,9633,9633,9633,9633,9633
,u	粗□□□□□□□□□	31895,9633,9633,9633,9633,9633,9633,9633,9633,9633
,v	炑□□□□□□□□煉	28817,9633,9633,9633,9633,9633,9633,9633,9633,29001
,w	籹□□□□□□□□□	31865,9633,9633,9633,9633,9633,9633,9633,9633,9633
,x	□糝□□□□□□□□	9633,31965,9633,9633,9633,9633,9633,9633,9633,9633
,y	粒炕□□□□□粹□焙	31890,28821,9633,9633,9633,9633,9633,31929,9633,28953
,z	糯□□□□類□燎□□	31983,9633,9633,9633,9633,39006,9633,29134,9633,9633
.,	狄□□□□逖□□□□	29380,9633,9633,9633,9633,36886,9633,9633,9633,9633
..	爻狐□循猙□□□□貉	29243,29392,9633,24490,29465,9633,9633,9633,9633,35977
./	□玀□□爵□□□獨□	9633,29568,9633,9633,29237,9633,9633,9633,29544,9633
.;	各□□□□□狷雒□□	21508,9633,9633,9633,9633,9633,29431,38610,9633,9633
.a	爰徑征狂衙□□□須□	29232,24465,24449,29378,34905,9633,9633,9633,38920,9633
.b	□□□□□□亂□□□	9633,9633,9633,9633,9633,9633,20098,9633,9633,9633
.c	衍□□□□□躺□□□	34893,9633,9633,9633,9633,9633,36538,9633,9633,9633
.d	凶兇□□□□□爬□□	20982,20807,9633,9633,9633,9633,9633,29228,9633,9633
.e	刈遞徙□□□□□□□	21000,36958,24473,9633,9633,9633,9633,9633,9633,9633
.f	夆□□□□射盾獲豺德	22790,9633,9633,9633,9633,23556,30462,29554,35962,24503
.g	□犯□猛□□□□□□	9633,29359,9633,29467,9633,9633,9633,9633,9633,9633
.h	冬彷□□狼□□□□□	20908,24439,9633,9633,29436,9633,9633,9633,9633,9633
.i	銜□□徐□□□□□猶	37532,9633,9633,24464,9633,9633,9633,9633,9633,29494
.j	□覓□□受愛舜□□貂	9633,35219,9633,9633,21463,24859,33308,9633,9633,35970
.k	□□□□猴□□聳□咎	9633,9633,9633,9633,29492,9633,9633,32883,9633,21646
.l	□□獅□□豹□□□貌	9633,9633,29509,9633,9633,35961,9633,9633,9633,35980
.m	狽□□□□□猾□□□	29437,9633,9633,9633,9633,9633,29502,9633,9633,9633
.n	□□□狩□獰□□□□	9633,9633,9633,29417,9633,29552,9633,9633,9633,9633
.o	舀□□□□□□□□復	33280,9633,9633,9633,9633,9633,9633,9633,9633,24489
.p	得□狎貍□□□□猩猖	24471,9633,29390,35981,9633,9633,9633,9633,29481,29462
.q	后□□□□逅□□□軀	21518,9633,9633,9633,9633,36869,9633,9633,9633,36544
.r	□□徒待□□猜衖□猿	9633,9633,24466,24453,9633,9633,29468,34902,9633,29503
.s	□□□躲役□□□□□	9633,9633,9633,36530,24441,9633,9633,9633,9633,9633
.t	□懇爭律彼□□□□衛	9633,25031,29229,24459,24444,9633,9633,9633,9633,34907
.u	衡□□□□□□□□□	34913,9633,9633,9633,9633,9633,9633,9633,9633,9633
.v	采□□□□殺□徠彩釉	37319,9633,9633,9633,9633,27578,9633,24480,24425,37321
.w	妥□□□□□□□□獵	22949,9633,9633,9633,9633,9633,9633,9633,9633,29557
.x	雞□□□□□□瓜後□	38622,9633,9633,9633,9633,9633,9633,29916,24460,9633
.y	狺□□往□□□狡□獐	29434,9633,9633,24448,9633,9633,9633,29409,9633,29520
.z	□□□□□□希狹□□	9633,9633,9633,9633,9633,9633,24076,29433,9633,9633
/,	□□□□□□□□□□	9633,9633,9633,9633,9633,9633,9633,9633,9633,9633
/.	□□□蜂□□□□□□	9633,9633,9633,34562,9633,9633,9633,9633,9633,9633
//	□□□□□□□□□蟲	9633,9633,9633,9633,9633,9633,9633,9633,9633,34802
/;	□□□□蜈□□□□蟬	9633,9633,9633,9633,34568,9633,9633,9633,9633,34796
/a	□蛭□□□□□□□□	9633,34541,9633,9633,9633,9633,9633,9633,9633,9633
/b	□□□□□□蛹□□□	9633,9633,9633,9633,9633,9633,34553,9633,9633,9633
/c	□□□□□遝螳□□□	9633,9633,9633,9633,9633,36957,34739,9633,9633,9633
/d	□□□□□□□□□□	9633,9633,9633,9633,9633,9633,9633,9633,9633,9633
/e	□□罪□蝦□□□□罩	9633,9633,32618,9633,34662,9633,9633,9633,9633,32617
/f	蚌□□□□□置□□蝴	34444,9633,9633,9633,9633,9633,32622,9633,9633,34676
/g	□□□蜢□□蝙罵□□	9633,9633,9633,34594,9633,9633,34649,32629,9633,9633
/h	□□□蚪螂□□□□□	9633,9633,9633,34474,34690,9633,9633,9633,9633,9633
/i	蜷□□蟻蛉□蝓□□蛤	34615,9633,9633,34811,34505,9633,34643,9633,9633,34532
/j	虭蜆□蜩□□□□□螟	34413,34566,9633,34601,9633,9633,9633,9633,9633,34719
